Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2008,"Iraq ",151,0.26900,0.20454,0.10702,0.69220,0.01274
2008,"Ireland ",19,0.72960,0.25000,0.67558,0.99315,0.52170
2008,"Israel ",17,0.73930,0.31818,0.66555,0.94605,0.60854
2008,"Italy ",27,0.66800,0.22727,0.51170,0.95824,0.53891
2008,"Jamaica ",85,0.46790,0.11363,0.32107,0.79243,0.29451
2008,"Japan ",11,0.77030,0.61363,0.74247,0.94618,0.62319
2008,"Jordan ",50,0.54800,0.54545,0.60535,0.86770,0.16933
2008,"Kazakhstan ",81,0.47430,0.09090,0.32107,0.97588,0.13062
2008,"Kenya ",122,0.34740,0.04545,0.30434,0.69263,0.04647
2008,"Kiribati ",183,0.00000,0.02272,0.06688,,0.01813
2008,"Kuwait ",57,0.52020,0.06818,0.41471,0.87139,0.27769
2008,"Kyrgyzstan ",102,0.41950,0.13636,0.29765,0.91709,0.04746
2008,"Lao People's Democratic Republic ",156,0.23830,0.00000,0.03678,0.66321,0.02092
2008,"Latvia ",36,0.59440,0.22727,0.44816,0.96540,0.37406
2008,"Lebanon ",74,0.48400,0.40909,0.39130,0.87058,0.19298
2008,"Lesotho ",114,0.38050,0.09090,0.34448,0.76816,0.02994
2008,"Liberia ",163,0.21700,0.06818,0.11036,0.53764,0.00634
2008,Libya,120,0.35460,0.20454,0.08026,0.87487,0.11702
2008,Liechtenstein,49,0.54860,0.13636,0.18729,0.94790,0.52159
2008,"Lithuania ",28,0.66170,0.47727,0.60869,0.96879,0.40925
2008,Luxembourg,14,0.75120,0.61363,0.60869,0.91567,0.73362
2008,"Madagascar ",135,0.30650,0.13636,0.24080,0.67013,0.01052
2008,"Malawi ",146,0.28780,0.02272,0.22073,0.63791,0.00685
2008,Malaysia,34,0.60630,0.29545,0.67558,0.83902,0.30222
2008,Maldives,95,0.44910,0.02272,0.29431,0.86165,0.19593
2008,"Mali ",175,0.15910,0.09090,0.17725,0.28226,0.01709
2008,"Malta ",29,0.65820,0.38636,0.72575,0.85558,0.39114
2008,"Marshall Islands ",183,0.00000,0.00000,0.07023,,0.04533
2008,"Mauritania ",168,0.20280,0.11363,0.06020,0.49340,0.05897
2008,Afghanistan,167,0.20480,0.04545,0.26755,0.32927,0.01576
2008,"Mauritius ",63,0.50860,0.11363,0.47157,0.81316,0.24230
2008,"Mexico ",37,0.58930,0.75000,0.70568,0.86290,0.19569
2008,"Micronesia (Federated States of) ",183,0.00000,0.02272,0.08026,,0.08405
2008,"Monaco ",183,0.00000,0.09090,0.38127,,0.60854
2008,"Mongolia ",82,0.47350,0.27272,0.42140,0.90965,0.09114
2008,Montenegro,100,0.42820,0.09090,0.37123,0.89105,0.02402
2008,"Albania ",86,0.46700,0.02272,0.39130,0.88687,0.12508
2008,"Algeria ",121,0.35150,0.02272,0.22408,0.71140,0.12298
2008,"Andorra ",58,0.51750,0.06818,0.28428,0.86862,0.40664
2008,"Angola ",127,0.33280,0.11363,0.43812,0.53471,0.02238
2008,"Antigua and Barbuda ",96,0.44850,0.13636,0.14046,0.82533,0.38910
2008,"Argentina ",39,0.58440,0.45454,0.55852,0.94698,0.24844
2008,"Armenia ",103,0.41820,0.04545,0.27090,0.89882,0.08939
