Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2010,"Iraq ",136,0.29957,0.04285,0.15238,0.69556,0.05522
2010,"Ireland ",21,0.68655,0.44285,0.49841,0.99310,0.57386
2010,"Israel ",26,0.65517,0.41428,0.58412,0.95016,0.43337
2010,"Italy ",38,0.57995,0.21428,0.28888,0.96836,0.49143
2010,"Jamaica ",89,0.44666,0.08571,0.22857,0.83606,0.28195
2010,"Japan ",17,0.71517,0.75714,0.67301,0.94960,0.52417
2010,"Jordan ",51,0.52784,0.28571,0.53333,0.86940,0.18063
2010,"Kazakhstan ",46,0.55782,0.55714,0.52698,0.96773,0.17969
2010,"Kenya ",124,0.33384,0.22857,0.23809,0.70266,0.06368
2010,"Kiribati ",184,0.00000,0.01428,0.02857,,0.01482
2010,"Kuwait ",50,0.52901,0.22857,0.46031,0.87640,0.25239
2010,"Kyrgyzstan ",91,0.44168,0.42857,0.31746,0.91960,0.09175
2010,"Lao People's Democratic Republic ",151,0.26371,0.12857,0.07936,0.68446,0.03291
2010,"Latvia ",37,0.58261,0.27142,0.41587,0.96080,0.37621
2010,"Lebanon ",93,0.43875,0.27142,0.26666,0.85833,0.19646
2010,"Lesotho ",121,0.35123,0.08571,0.26349,0.75286,0.03999
2010,"Liberia ",166,0.21333,0.02857,0.06349,0.56213,0.01892
2010,Libya,114,0.37985,0.17142,0.13650,0.89786,0.11255
2010,Liechtenstein,23,0.66940,0.12857,0.52380,0.94763,0.54118
2010,"Lithuania ",28,0.62952,0.52857,0.48253,0.96916,0.44132
2010,Luxembourg,25,0.66721,0.17142,0.38095,0.91560,0.71375
2010,"Madagascar ",139,0.28904,0.05714,0.16507,0.67573,0.03008
2010,"Malawi ",159,0.23568,0.00000,0.01587,0.67973,0.01811
2010,Malaysia,32,0.61014,0.65714,0.63174,0.85426,0.34375
2010,Maldives,92,0.43917,0.07142,0.16190,0.87543,0.28859
2010,"Mali ",176,0.18147,0.11428,0.18412,0.33113,0.02907
2010,"Malta ",30,0.61293,0.34285,0.46984,0.88703,0.48627
2010,"Marshall Islands ",184,0.00000,0.02857,0.02539,,0.04174
2010,"Mauritania ",157,0.23590,0.11428,0.08888,0.54346,0.07981
